trial,seed,object_class,feature_type,detected,pixel_error,iou,confidence,latency_ms
0,0,washer,hole,1,0.4028748039919594,0.8170731707317073,0.0875,67.84623599997985
0,0,box,surface,1,0.5812102207313411,0.0,0.0668,67.84623599997985
0,0,mug,handle,0,179.4076506180725,0.0,0.40512819474030276,67.84623599997985
1,1,washer,hole,0,69.69765338547639,0.0,0.2375,66.5827060000197
1,1,box,surface,1,1.1430886372671354,0.0,0.07385,66.5827060000197
1,1,mug,handle,0,67.59807880290994,0.0,0.3952380858276646,66.5827060000197
2,2,washer,hole,0,139.05774192824612,0.0,0.2375,63.618054000016855
2,2,box,surface,0,-1.0,0.0,0.0,63.618054000016855
2,2,mug,handle,1,21.371448047649757,0.0,0.3868852395592584,63.618054000016855
3,3,washer,hole,1,0.6093327367070176,0.8170731707317073,0.0875,67.31981299998324
3,3,box,surface,1,16.906816592107194,0.0,0.08606,67.31981299998324
3,3,mug,handle,0,112.96808481476178,0.0,0.5121951094586559,67.31981299998324
4,4,washer,hole,1,0.3191725277529823,0.7738095238095238,0.0875,63.09605199999169
4,4,box,surface,0,-1.0,0.0,0.0,63.09605199999169
4,4,mug,handle,0,-1.0,0.0,0.0,63.09605199999169
5,5,washer,hole,0,96.89824250635402,0.0,0.25,62.94977899995047
5,5,box,surface,0,-1.0,0.0,0.0,62.94977899995047
5,5,mug,handle,0,91.65617100548424,0.0,0.4212765867813492,62.94977899995047
6,6,washer,hole,1,0.6441187565289577,0.8170731707317073,0.0875,28.945238000005702
6,6,box,surface,0,-1.0,0.0,0.0,28.945238000005702
6,6,mug,handle,0,-1.0,0.0,0.0,28.945238000005702
7,7,washer,hole,1,0.41463352371179896,0.8170731707317073,0.0875,28.199533000019983
7,7,box,surface,0,-1.0,0.0,0.0,28.199533000019983
7,7,mug,handle,0,147.6394417352943,0.0,0.42264150145959434,28.199533000019983
8,8,washer,hole,1,0.6064596892058012,0.13197519929140833,0.2375,32.213899999987916
8,8,box,surface,0,-1.0,0.0,0.0,32.213899999987916
8,8,mug,handle,0,-1.0,0.0,0.0,32.213899999987916
9,9,washer,hole,1,0.44897851771579356,1.0,0.0875,30.230861000006826
9,9,box,surface,0,-1.0,0.0,0.0,30.230861000006826
9,9,mug,handle,1,15.614756857572655,0.0,0.3304347790170133,30.230861000006826
10,10,washer,hole,1,0.4480982713154261,0.8170731707317073,0.0875,29.211212999996405
10,10,box,surface,1,0.4833311432011434,0.0,0.0474,29.211212999996405
10,10,mug,handle,0,97.64207941065474,0.0,0.4129032124869931,29.211212999996405
11,11,washer,hole,1,0.5372884532011224,0.8170731707317073,0.0875,32.38071300000911
11,11,box,surface,1,0.6539170636636801,0.0,0.04755,32.38071300000911
11,11,mug,handle,0,77.324113943369,0.0,0.41935482518210243,32.38071300000911
12,12,washer,hole,1,1.1316875494044212,0.13197519929140833,0.2375,70.34883099998979
12,12,box,surface,1,0.9295696100932427,0.0,0.10462,70.34883099998979
12,12,mug,handle,0,138.66303574799065,0.0,0.3481481417009603,70.34883099998979
13,13,washer,hole,1,0.5906905668816839,1.0,0.0875,71.84860000000981
13,13,box,surface,1,0.47211254037627864,0.0,0.03881,71.84860000000981
13,13,mug,handle,0,101.69077780487716,0.0,0.47199998112000074,71.84860000000981
14,14,washer,hole,1,0.4100101479958092,0.8170731707317073,0.0875,67.28860299995176
14,14,box,surface,1,1.314616680277491,0.0,0.10935,67.28860299995176
14,14,mug,handle,0,89.11885168530323,0.0,0.3357142797193879,67.28860299995176
15,15,washer,hole,1,0.05015960725473407,0.7738095238095238,0.0875,67.40862700002026
15,15,box,surface,1,1.1859551517020253,0.0,0.06928,67.40862700002026
15,15,mug,handle,0,160.8067914969372,0.0,0.37142856258503426,67.40862700002026
16,16,washer,hole,0,75.1256991370532,0.0,0.2375,30.622687999994014
16,16,box,surface,1,1.0425565773384498,0.0,0.1035,30.622687999994014
16,16,mug,handle,0,158.5090673179868,0.0,0.3490196009996157,30.622687999994014
17,17,washer,hole,1,0.4808317680807824,1.0,0.0875,29.799466999975266
17,17,box,surface,1,1.2145860753372517,0.0,0.09863,29.799466999975266
17,17,mug,handle,0,177.04861837893185,0.0,0.3529411695501732,29.799466999975266
18,18,washer,hole,1,0.5098343969022491,1.0,0.0875,32.48681000002307
18,18,box,surface,0,-1.0,0.0,0.0,32.48681000002307
18,18,mug,handle,0,80.11187382243291,0.0,0.30123456418228933,32.48681000002307
19,19,washer,hole,1,0.7873821942237524,0.13197519929140833,0.2375,78.64319399999431
19,19,box,surface,1,1.7545485308690558,0.0,0.08907,78.64319399999431
19,19,mug,handle,0,150.25489390930073,0.0,0.3583333258680558,78.64319399999431
20,20,washer,hole,1,0.3932086218879172,0.7738095238095238,0.0875,66.6019399999982
20,20,box,surface,1,0.7011351594821803,0.0,0.04773,66.6019399999982
20,20,mug,handle,0,88.33816559764304,0.0,0.4387096632674302,66.6019399999982
21,21,washer,hole,0,44.38550282157517,0.0,0.2375,75.85024999997358
21,21,box,surface,1,0.8356605109450778,0.0,0.10653,75.85024999997358
21,21,mug,handle,0,95.30091643108358,0.0,0.33818181203305797,75.85024999997358
22,22,washer,hole,1,1.4648044450092634,0.7738095238095238,0.0875,67.60647800001607
22,22,box,surface,0,-1.0,0.0,0.0,67.60647800001607
22,22,mug,handle,0,90.2631010367936,0.0,0.44285712704081687,67.60647800001607
23,23,washer,hole,0,54.12881037891211,0.0,0.2375,30.228218999980072
23,23,box,surface,1,0.22751558588331244,0.0,0.07531,30.228218999980072
23,23,mug,handle,1,9.936141934966237,0.0,0.30999999483333346,30.228218999980072
24,24,washer,hole,1,0.24052384930119147,0.7738095238095238,0.0875,39.90342499997723
24,24,box,surface,1,1.0693074512212726,0.0,0.08144,39.90342499997723
24,24,mug,handle,0,138.2299524798213,0.0,0.37391303534971665,39.90342499997723
25,25,washer,hole,1,0.2974997708649526,0.8170731707317073,0.0875,28.0641730000184
25,25,box,surface,0,-1.0,0.0,0.0,28.0641730000184
25,25,mug,handle,0,45.66153317102857,0.0,0.38695651753308136,28.0641730000184
26,26,washer,hole,0,123.68395435927759,0.0,0.2375,72.8140410000151
26,26,box,surface,0,-1.0,0.0,0.0,72.8140410000151
26,26,mug,handle,0,127.00497869573677,0.0,0.4571428408163271,72.8140410000151
27,27,washer,hole,1,0.26304762233791684,1.0,0.0875,67.76848300000893
27,27,box,surface,1,0.8924940443310635,0.0,0.08278,67.76848300000893
27,27,mug,handle,0,74.90320913680235,0.0,0.36956520935727805,67.76848300000893
28,28,washer,hole,1,1.494361906556173,0.13197519929140833,0.2375,37.87368600001173
28,28,box,surface,1,0.8093787090401241,0.0,0.06459,37.87368600001173
28,28,mug,handle,0,72.97931404373995,0.0,0.4052631472299172,37.87368600001173
29,29,washer,hole,1,0.5113531184720875,0.8170731707317073,0.0875,81.36370100004342
29,29,box,surface,0,-1.0,0.0,0.0,81.36370100004342
29,29,mug,handle,0,95.11310999110844,0.0,0.3771428463673473,81.36370100004342
30,30,washer,hole,1,0.8979176528350991,0.13197519929140833,0.2375,77.9909869999642
30,30,box,surface,1,0.43715166742180656,0.0,0.07969,77.9909869999642
30,30,mug,handle,0,159.5753222733924,0.0,0.37333332503703726,77.9909869999642
31,31,washer,hole,0,122.81350436293134,0.0,0.2375,66.8666470000403
31,31,box,surface,0,-1.0,0.0,0.0,66.8666470000403
31,31,mug,handle,0,167.10408716571263,0.0,0.44444442798353967,66.8666470000403
32,32,washer,hole,1,0.4744768320676536,0.7738095238095238,0.0875,68.19476300000815
32,32,box,surface,0,-1.0,0.0,0.0,68.19476300000815
