trial,seed,object_class,detected_x,detected_y,detected_z,gt_x,gt_y,gt_z,error_x,error_y,error_z,error_total
0,1000,washer,0.04672376820842249,-0.14797502758840997,0.4168157270320883,0.04607687563938287,-0.15399722275023772,0.426,0.0006468925690396241,0.006022195161827754,0.009184272967911689,0.011001644173128563
0,1000,box,nan,nan,nan,0.13508485930470734,-0.007123439428800726,0.48,nan,nan,nan,nan
0,1000,mug,0.1426420064188051,0.01891496458135039,0.456388640672119,-0.10278711256927325,-0.04112221546171768,0.45999999999999996,0.24542911898807834,0.06003718004306807,0.003611359327880981,0.25269142714184656
1,1001,washer,0.11038484951683754,-0.17210363011581548,0.44326353579002004,-0.05813034613535836,-0.09397457375699769,0.426,0.16851519565219591,0.07812905635881778,0.017263535790020046,0.18654637568494997
1,1001,box,0.03515244014557906,0.048338479933717204,0.4664120895838097,0.03405655670896374,0.03218284463554166,0.48,0.0010958834366153261,0.01615563529817554,0.013587910416190285,0.02113851512932533
1,1001,mug,0.03515244014557906,0.048338479933717204,0.4664120895838097,0.1410703035633653,-0.18354778538472574,0.45999999999999996,0.10591786341778625,0.23188626531844295,0.0064120895838097325,0.2550116639041339
2,1002,washer,0.09341833289033676,-0.13845608942655163,0.45198545409372287,-0.11130351340143901,-0.015537526883076247,0.426,0.20472184629177576,0.12291856254347538,0.02598545409372288,0.24019835801130013
2,1002,box,-0.027104793359873335,0.05845013156924306,0.464865711854802,-0.025153820617965755,0.04108969263062692,0.48,0.0019509727419075792,0.017360438938616135,0.01513428814519796,0.02311358501926876
2,1002,mug,-0.027104793359873335,0.05845013156924306,0.464865711854802,0.12701969557929474,-0.14474321629661815,0.45999999999999996,0.15412448893916808,0.2031933478658612,0.004865711854802057,0.2550795363402376
3,1003,washer,0.029123395541637016,-0.023776139729197232,0.4248822623567641,0.029341739426991253,-0.025626484456024473,0.426,0.00021834388535423715,0.001850344726827241,0.0011177376432359165,0.002172737236638509
3,1003,box,nan,nan,nan,-0.1449390018325205,0.038674983356881215,0.48,nan,nan,nan,nan
3,1003,mug,nan,nan,nan,-0.11321340886798417,0.16087180278638974,0.45999999999999996,nan,nan,nan,nan
4,1004,washer,-0.14251359664729002,0.15978783575748984,0.4154464069773788,-0.13831450845415255,0.14259834403529603,0.426,0.004199088193137468,0.017189491722193806,0.01055359302262121,0.02060313794081462
4,1004,box,nan,nan,nan,0.07395009238711794,0.14557115729796238,0.48,nan,nan,nan,nan
