trial,num_objects,object_class,detection_rate
0,3,washer,1
0,3,box,1
0,3,mug,0
1,3,washer,1
1,3,box,0
1,3,mug,0
2,3,washer,1
2,3,box,1
2,3,mug,0
3,3,washer,1
3,3,box,0
3,3,mug,1
4,3,washer,1
4,3,box,0
4,3,mug,0
5,3,washer,1
5,3,box,0
5,3,mug,0
6,3,washer,1
6,3,box,1
6,3,mug,0
7,3,washer,0
7,3,box,1
7,3,mug,0
8,3,washer,1
8,3,box,0
8,3,mug,1
9,3,washer,1
9,3,box,0
9,3,mug,0
10,3,washer,0
10,3,box,1
10,3,mug,0
11,3,washer,1
11,3,box,0
11,3,mug,0
12,3,washer,0
12,3,box,0
12,3,mug,0
13,3,washer,1
13,3,box,1
13,3,mug,0
14,3,washer,1
14,3,box,1
14,3,mug,0
15,3,washer,1
15,3,box,0
15,3,mug,0
16,3,washer,1
16,3,box,1
16,3,mug,0
17,3,washer,1
17,3,box,0
17,3,mug,0
18,3,washer,1
18,3,box,1
18,3,mug,0
19,3,washer,1
19,3,box,1
19,3,mug,0
