parameter_name,parameter_value,detection_rate,object_class
hough_param2,15,1.0,washer
hough_param2,15,0.7,box
hough_param2,15,0.0,mug
hough_param2,20,1.0,washer
hough_param2,20,0.4,box
hough_param2,20,0.0,mug
hough_param2,25,1.0,washer
hough_param2,25,0.5,box
hough_param2,25,0.1,mug
hough_param2,30,1.0,washer
hough_param2,30,0.5,box
hough_param2,30,0.0,mug
hough_param2,35,0.4,washer
hough_param2,35,0.7,box
hough_param2,35,0.0,mug
hough_param2,40,0.2,washer
hough_param2,40,0.7,box
hough_param2,40,0.0,mug
hough_param2,45,0.4,washer
hough_param2,45,0.3,box
hough_param2,45,0.0,mug
canny_low,30,1.0,washer
canny_low,30,0.6,box
canny_low,30,0.1,mug
canny_low,40,0.9,washer
canny_low,40,0.6,box
canny_low,40,0.0,mug
canny_low,50,0.8,washer
canny_low,50,0.3,box
canny_low,50,0.0,mug
canny_low,60,0.9,washer
canny_low,60,0.6,box
canny_low,60,0.0,mug
canny_low,70,1.0,washer
canny_low,70,0.6,box
canny_low,70,0.0,mug
surface_min_area,200,0.9,washer
surface_min_area,200,0.6,box
surface_min_area,200,0.0,mug
surface_min_area,500,0.9,washer
surface_min_area,500,0.8,box
surface_min_area,500,0.0,mug
surface_min_area,1000,1.0,washer
surface_min_area,1000,0.6,box
surface_min_area,1000,0.1,mug
surface_min_area,2000,0.9,washer
surface_min_area,2000,0.7,box
surface_min_area,2000,0.0,mug
surface_min_area,3000,1.0,washer
surface_min_area,3000,0.4,box
surface_min_area,3000,0.0,mug
